No.,名称,经度(度),纬度(度),高程(米)
594,0,116.663110207,33.041751259,24.324
595,0,116.830355372,33.041751259,23.776
596,0,116.997600537,33.041751259,22.817
597,0,117.164845702,33.041751259,24.368
598,0,117.332090867,33.041751259,29.442
599,0,117.499336033,33.041751259,28.195
600,0,117.666581198,33.041751259,28.437
601,0,117.833826363,33.041751259,29.941
602,0,118.001071528,33.041751259,19.930
603,0,106.962890625,32.874506094,1360.328
604,0,107.130135790,32.874506094,1333.437
605,0,107.297380955,32.874506094,1742.937
606,0,107.464626121,32.874506094,1490.071
607,0,107.631871286,32.874506094,1769.562
608,0,107.799116451,32.874506094,1239.684
609,0,107.966361616,32.874506094,1229.110
610,0,108.133606781,32.874506094,1108.215
611,0,108.300851947,32.874506094,753.606
612,0,108.468097112,32.874506094,892.598
613,0,108.635342277,32.874506094,768.653
614,0,108.802587442,32.874506094,393.995
615,0,108.969832607,32.874506094,444.871
616,0,109.137077773,32.874506094,521.385
617,0,109.304322938,32.874506094,652.603
618,0,109.471568103,32.874506094,840.276
619,0,109.638813268,32.874506094,944.417
620,0,109.806058433,32.874506094,758.019
621,0,109.973303599,32.874506094,835.290
622,0,110.140548764,32.874506094,799.384
623,0,110.307793929,32.874506094,585.071
624,0,110.475039094,32.874506094,426.603
625,0,110.642284259,32.874506094,413.377
626,0,110.809529425,32.874506094,274.342
627,0,110.976774590,32.874506094,312.135
628,0,111.144019755,32.874506094,249.265
629,0,111.311264920,32.874506094,297.447
630,0,111.478510085,32.874506094,223.669
631,0,111.645755251,32.874506094,189.973
632,0,111.813000416,32.874506094,165.095
633,0,111.980245581,32.874506094,126.700
634,0,112.147490746,32.874506094,111.042
635,0,112.314735911,32.874506094,103.335
636,0,112.481981077,32.874506094,102.934
637,0,112.649226242,32.874506094,105.994
638,0,112.816471407,32.874506094,107.479
639,0,112.983716572,32.874506094,111.665
640,0,113.150961737,32.874506094,133.239
641,0,113.318206903,32.874506094,172.098
642,0,113.485452068,32.874506094,190.010
643,0,113.652697233,32.874506094,226.415
644,0,113.819942398,32.874506094,220.758
645,0,113.987187563,32.874506094,120.603
646,0,114.154432729,32.874506094,79.526
647,0,114.321677894,32.874506094,75.635
648,0,114.488923059,32.874506094,59.713
649,0,114.656168224,32.874506094,49.153
650,0,114.823413389,32.874506094,44.013
651,0,114.990658555,32.874506094,42.221
652,0,115.157903720,32.874506094,39.565
653,0,115.325148885,32.874506094,36.620
654,0,115.492394050,32.874506094,34.153
655,0,115.659639215,32.874506094,32.493
656,0,115.826884381,32.874506094,30.363
657,0,115.994129546,32.874506094,27.730
658,0,116.161374711,32.874506094,27.542
659,0,116.328619876,32.874506094,26.581
